@relation 'generators.HyperplaneGenerator -i 3 -a 7 -n 15'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {class1,class2}

@data

0.029818,0.81117,0.945416,0.152734,0.910276,0.999146,0.539993,class1
0.542546,0.463468,0.810135,0.405882,0.074133,0.926251,0.730505,class2
0.89061,0.535758,0.571671,0.254115,0.690779,0.961211,0.333785,class2
0.445021,0.232071,0.060979,0.207124,0.248799,0.425599,0.36726,class1
0.498336,0.335253,0.319649,0.842762,0.053801,0.899508,0.732109,class1
0.114722,0.733423,0.911985,0.24531,0.185567,0.039761,0.412338,class1
0.258549,0.849132,0.495354,0.140497,0.637386,0.646376,0.673361,class1
0.141818,0.315993,0.617421,0.604241,0.39083,0.132913,0.306671,class1
0.960797,0.174616,0.698569,0.839691,0.873553,0.609556,0.065371,class2
0.084984,0.832115,0.424585,0.615891,0.340646,0.830043,0.657814,class2
0.131573,0.737901,0.717528,0.471835,0.265327,0.402168,0.940377,class1
0.114675,0.751611,0.276943,0.184996,0.350208,0.280769,0.462052,class1
0.354854,0.447129,0.063485,0.278003,0.643047,0.741931,0.137436,class2
0.675464,0.803816,0.078663,0.097636,0.726522,0.04594,0.453429,class1
0.173178,0.69973,0.978786,0.34748,0.040314,0.653243,0.320252,class2
0.561826,0.004745,0.914981,0.779345,0.030378,0.877844,0.401458,class2
0.713944,0.117274,0.593279,0.452017,0.304259,0.250817,0.139397,class1
0.796553,0.965859,0.075043,0.406845,0.997783,0.611233,0.356465,class2
0.855506,0.117374,0.642834,0.770727,0.318944,0.781475,0.589783,class2
0.072517,0.010159,0.040304,0.72986,0.209946,0.777174,0.866851,class2
0.257373,0.582165,0.341064,0.336647,0.682804,0.322302,0.04566,class2
0.186346,0.905802,0.866609,0.060033,0.08278,0.033492,0.12092,class1
0.379347,0.742575,0.262189,0.385754,0.473393,0.552264,0.145911,class1
0.016479,0.220554,0.800366,0.353468,0.376631,0.92698,0.885682,class2
0.585462,0.460725,0.31021,0.149622,0.682114,0.543398,0.38785,class1
0.86594,0.056007,0.358364,0.564131,0.621013,0.442432,0.54149,class2
0.85949,0.313285,0.18152,0.012139,0.817219,0.468018,0.678424,class2
0.401859,0.692282,0.226518,0.72276,0.067156,0.582778,0.016464,class1
0.674829,0.492139,0.192689,0.207244,0.719879,0.384576,0.024534,class1
0.572632,0.710184,0.035723,0.231537,0.185345,0.521058,0.695325,class1
0.672648,0.900323,0.30318,0.364884,0.597514,0.415835,0.092068,class1
0.646999,0.659405,0.746629,0.667245,0.698844,0.970082,0.299275,class2
0.028881,0.247604,0.520583,0.588832,0.779754,0.623172,0.297298,class1
0.224203,0.754836,0.890704,0.707076,0.87312,0.428184,0.755649,class2
0.458525,0.83555,0.2995,0.889753,0.534669,0.676333,0.622912,class2
0.600792,0.15766,0.032438,0.958551,0.460485,0.522522,0.013282,class1
0.175076,0.72893,0.768163,0.277057,0.685017,0.961986,0.844613,class2
0.890454,0.542099,0.275072,0.684917,0.689373,0.971395,0.353864,class2
0.156077,0.917301,0.957042,0.223582,0.618093,0.501763,0.29286,class1
0.476176,0.277616,0.51152,0.248771,0.682501,0.521621,0.70853,class1
0.413857,0.889206,0.68044,0.581045,0.414746,0.185611,0.437592,class1
0.086662,0.527092,0.743327,0.900253,0.308166,0.354436,0.383106,class1
0.292204,0.298547,0.702751,0.88837,0.156081,0.988464,0.534841,class2
0.55454,0.451267,0.297404,0.517956,0.93349,0.162588,0.898213,class2
0.217551,0.013047,0.901036,0.453156,0.036867,0.001374,0.768782,class2
0.482167,0.595963,0.721646,0.132408,0.840455,0.636976,0.362686,class1
0.492553,0.770421,0.992651,0.63106,0.31061,0.74921,0.70736,class2
0.763758,0.098411,0.830444,0.235833,0.861767,0.086485,0.505678,class1
0.307436,0.663858,0.637114,0.283633,0.638753,0.565237,0.632448,class1
0.750907,0.499569,0.257202,0.747488,0.604919,0.968088,0.356391,class1
0.405628,0.492966,0.270234,0.465625,0.4811,0.025694,0.337036,class1
0.733554,0.909264,0.39602,0.725447,0.001695,0.715029,0.658649,class2
0.263262,0.297739,0.394683,0.482869,0.210745,0.256749,0.30133,class1
